European Region,total confirmed,total new cases,total deaths,new deaths,transmission,days since last reported
Italy,4636,778,197,49,Local transmission,0
Germany,639,105,0,0,Local transmission,0
France,613,193,9,3,Local transmission,0
Spain,374,117,5,2,Local transmission,0
Switzerland,209,123,1,0,Local transmission,0
United Kingdom,167,49,1,1,Local transmission,0
Sweden,137,76,0,0,Local transmission,0
Netherlands,128,46,1,1,Local transmission,0
Norway,113,27,0,0,Local transmission,0
Belgium,109,59,0,0,Local transmission,0
Austria,66,19,0,0,Imported cases only,0
Iceland,45,19,0,0,Local transmission,0
Greece,32,0,0,0,Local transmission,2
San Marino,24,3,0,0,Local transmission,0
Denmark,23,5,0,0,Local transmission,0
Finland,19,7,0,0,Local transmission,0
Israel,19,4,0,0,Local transmission,0
Ireland,18,4,0,0,Local transmission,0
Portugal,13,4,0,0,Local transmission,0
Czech Republic,12,0,0,0,Local transmission,1
Croatia,11,1,0,0,Local transmission,0
Estonia,10,7,0,0,Imported cases only,0
Azerbaijan,9,6,0,0,Imported cases only,0
Georgia,9,0,0,0,Imported cases only,1
Slovenia,9,3,0,0,Local transmission,0
Romania,7,1,0,0,Local transmission,0
Russia,7,3,0,0,Imported cases only,0
Belarus,6,0,0,0,Local transmission,2
Poland,5,4,0,0,Imported cases only,0
Hungary,5,3,0,0,Imported cases only,0
Macedonia,3,2,0,0,Imported cases only,0
Bosnia and Herzegovina,2,0,0,0,Local transmission,2
Luxembourg,2,1,0,0,Imported cases only,0
Andorra,1,0,0,0,Imported cases only,4
Armenia,1,0,0,0,Imported cases only,5
Holy See (Vatican City),1,1,0,0,Under investigation,1
Latvia,1,0,0,0,Imported cases only,4
Liechtenstein,1,0,0,0,Imported cases only,1
Lithuania,1,0,0,0,Imported cases only,8
Monaco,1,0,0,0,Under investigation,6
Serbia,1,0,0,0,Under investigation,1
Slovakia,1,1,0,0,Local transmission,0
Ukraine,1,0,0,0,Imported cases only,3
